,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
3,88,GNB,Kyler Fackrell\FackKy00,OLB,24,2018,0,0,0,3,3,39,0,0,0,0,0,0,0,0,0,0,0,46,,13.0,Utah St.,College Stats
3,89,PIT,Javon Hargrave\HargJa00,DT,23,2018,0,0,3,13,13,41,0,0,0,0,0,0,0,0,0,0,0,62,,9.0,South Carolina St.,
3,90,SEA,C.J. Prosise\ProsC.00,RB,22,2018,0,0,0,4,4,16,0,0,0,0,0,42,192,1,26,317,0,,,,Notre Dame,College Stats
3,91,NWE,Jacoby Brissett\BrisJa00,QB,22,2018,0,0,1,13,2,22,311,527,3496,13,7,86,336,5,0,0,0,,,,North Carolina St.,College Stats
3,92,ARI,Brandon Williams\WillBr07,CB,23,2018,0,0,0,3,3,39,0,0,0,0,0,0,0,0,0,0,0,23,,,Texas A&M,College Stats
3,93,CLE,Cody Kessler\KessCo00,QB,23,2018,0,0,1,3,3,13,160,248,1662,7,4,14,25,0,0,0,0,,,,USC,College Stats
3,94,SEA,Nick Vannett\VannNi00,TE,23,2018,0,0,1,1,1,33,0,0,0,0,0,0,0,0,36,359,3,,,,Ohio St.,College Stats
3,95,DET,Graham Glasgow\GlasGr00,C,24,2018,0,0,2,15,15,41,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,96,NWE,Vincent Valentine\ValeVi00,DT,22,2016,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,11,,1.0,Nebraska,College Stats
3,97,SEA,Rees Odhiambo\OdhiRe00,G,23,2017,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Boise St.,College Stats
3,98,DEN,Justin Simmons\SimmJu00,S,22,2018,0,0,2,7,7,36,0,0,0,0,0,0,0,0,0,0,0,112,6,2.0,Boston Col.,College Stats
4,99,CLE,Joe Schobert\SchoJo00,OLB,22,2018,0,1,2,11,11,39,0,0,0,0,0,0,0,0,0,0,0,123,2,5.0,Wisconsin,College Stats
4,100,OAK,Connor Cook\CookCo00,QB,23,2016,0,0,0,0,0,1,14,21,150,1,1,0,0,0,0,0,0,,,,Michigan St.,College Stats
4,101,DAL,Charles Tapper\TappCh00,DE,23,2017,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,1.0,Oklahoma,College Stats
4,102,SDG,Joshua Perry\PerrJo01,ILB,22,2017,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,8,,,Ohio St.,College Stats
4,103,JAX,Sheldon Day\DayxSh00,DT,22,2018,0,0,0,3,2,38,0,0,0,0,0,0,0,0,0,0,0,26,,5.0,Notre Dame,College Stats
4,104,BAL,Tavon Young\YounTa01,CB,22,2018,0,0,1,5,5,26,0,0,0,0,0,0,0,0,0,0,0,70,3,2.0,Temple,College Stats
4,105,KAN,Parker Ehinger\EhinPa00,G,23,2017,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati,College Stats
4,106,KAN,Eric Murray\MurrEr00,CB,22,2018,0,0,1,2,2,40,0,0,0,0,0,0,0,0,0,0,0,68,1,1.0,Minnesota,College Stats
4,107,BAL,Chris Moore\MoorCh00,WR,23,2018,0,0,0,2,2,38,0,0,0,0,0,9,32,0,38,436,3,2,,,Cincinnati,College Stats
4,108,TAM,Ryan Smith\SmitRy00,CB,23,2018,0,0,1,4,4,39,0,0,0,0,0,0,0,0,0,0,0,71,,,North Carolina Central,
